TIPLOC,Geography Description
ECRO065,East Croydon Signal T1065
ROSYFHH,Rosyth Dock Fhh
GTWK116,Gatwick Airport T1161
MNTFGBR,Mountfield Sidings (Gbrf)
GRAINEW,Grain Thamesport (Dbc)
FLKLDGL,Falkland Dgl
TYNEMTH,Tynemouth
PRSPSDG,Preston Park Sidings
BGLNBPF,Baglan Bay Bp Chem Fliner Hh
CNBKFY,Colnbrook Foster Yeoman Ews
HULLMAR,Marcroft Wagon
CTMS664,City Thameslink Signal Vc664
CDDRUPL,Cadder Br Subsidiary Yard
RYLSLC,Rylstone Level Crossing
SKPTBCS,Skipton Broughton Road C.S.
HELILOP,Down & Up Goods Loops
NWBIREP,New Biggin
NWBIBG,British Gypsum
NWBIKTH,Kirkby Thore
LBRIGG,Lambrigg Brx
LWGILL,Lowgill Brx
CLFT,Clifton & Lowther
SOTHWAT,Southwaite
CARLAPC,Upperby E.W.S.
CARLURS,Upperby Rs
CARLUMD,Upperby Md
CARLTMD,Carlisle Station T&Rs
CARLUJG,Upperby Jn Down Goods Line
CARLUTG,Upperby Up Through Goods Line
CARLLR,Carlisle London Road
PETLBGE,Esso(Petteril Bridge)
CARLFD,Carlisle London Rd Frt
CARLHFH,High Wapping
CARLDRS,Ny (No1 D R Siding)
CARLAME,Carlisle Yard
CARL465,Carlisle Ce 465 Signal
CARL464,Carlisle Ce 464 Signal
CARL467,Carlisle Ce 467 Signal
KGMRJCN,Carlisle Kingmoor Junction
CARLBGS,Ce Siding (Kingmoor B Group)
RIGG,Rigg
ANNADRS,Annan Drs Isu Ce
WTHH,Wath
DUMFRSJ,Dumfries South Jn
AULDGTH,Auldgirth
THILUL,Thornhill Up Loop
SMEE719,Smeeth Signal Ad719
SVNGLP,Sevington Loop
SVNGTNS,Sevington
SVNGS91,Sevington Ue91 Signal
DOLMLHS,Dollands Moor Loco Holding Sdg
DOLMORS,Dollands Moor Sidings
DOLMDGL,Dollands Moor Dn Gds Line
DOLMWST,Dollands Moor West
DOLM825,Dollands Moor Signals 825-831
DOLM836,Dollands Moor Signals 836-840
FLKS18,Folkestone East Signal Ye18
CHUNUFB,Channel Tunnel Uk/Fr Boundary
CHUNUKC,Channel Tunnel Crossover (Gb)
DOVE621,Dover Signal Ye 621
DOVE623,Dover Signal Ye 623
CHUNCTR,Eurotunnel Boundary (Ctrl)
DOLMWJN,Dollands Moor West Jn
WENHX,Westenhanger Crossovers
ASHFCEJ,Ashford East Jn (Ctrl)
ASHFCWJ,Ashford West Jn (Ctrl)
CRNGX,Charing Crossover
LENHLP,Lenham Heath Loop
LENHAMX,Lenham Crossover
CSMLX,Crismill Crossover
NASHENX,Nashenden Crossover
SNGWDEP,Singlewell Depot
SNGWX,Singlewell Crossover
SNGWLP,Singlewell Loop
SFLTX,Southfleet Crossover
SFLTJN,Southfleet Junction
CPPITSD,Church Path Pit Sdgs
EBSFEJN,Ebbsfleet E Jn
EBSFWJN,Ebbsfleet W Jn
FAVRDS1,Faversham Down Sdg No 1
ASHFEJN,Ashford East Junction
ASHFKDY,Ashford Down Yard
ASHFWJN,Ashford West Junction
ASHFCR,Ashford Crane Depot
ASHFEBS,Ashford East Berthing Sidings
BCHBKFM,Beechbrook Farm
LENHMLP,Lenham Loop
HOTHFLD,Hothfield Halt
WADH32D,Wadhurst-Opp Pe432
WADH432,Wadhurst Sig Pe432
TONBLHS,Tonbridge Drivers
TONBPOJ,Tonbridge Post Office Jn.
SVNOCHS,Sevenoaks C.H.S.
BROKGTS,Brookgate Siding
HALGRPC,Rugby Portland Cement
SHRNSDG,Sheerness Sidings
QUENYD,Queenborough Yard
GRAINFL,Grain Foster Yeoman - Fhh
HOOJ511,Hoo Junction Signal Nk511
HOOJUYD,Hooj Junction Up Yard
HOOJDYD,Hoo Junction Down Yard
HOOJ502,Hoo Junction Signal Nk502
SPRINGJ,Springhead Jn
SPHEADJ,Springhead Junction (Ctrl)
PLMSYD,Plumstead Yard
BRONLPT,Bardon London
ANGRMAR,Marcon Ps
FAWKHMJ,Fawkham Junction
CRONBDE,Carronbridge
GRVPKWR,Grove Park Wash Road
GRVPCHS,B R Carriage Sidings
GRVPCSD,Grove Park Shed
GRVPRCP,Grove Park Reception
SLADGEX,Slade Green Country Exit
CANOSDG,Cannon Street Siding
NWCMLM,New Cumnock Up Law Mining
NWCMURS,New Cumnock U.R.S.
NBCKSDG,New Beckenham Siding
STLNSHN,St Leonards Shunt Neck
HASTS70,Hastings Signal 70
HASTBSD,Hastings Brighton Sidings
HASTGSD,Hastings Goods Sidings
HASTING,Hastings
HASTCHS,B R Carriage Sidings
STLNDEM,St Leo Railway Engineering Ltd
STLNRWM,St Leonards W M Shunters
STLNWCS,Carriage Sidings
STLNSHB,St Leonards Shunting Board
STLNWMD,Tmd
EBOUCS,Eastbourne  Br Carriage Sidngs
HOVE400,Hove Signal 1400
BRGH280,Brighton Signal T1280
CRAWNYD,Crawley New Yard
BRGHWS,Brighton Wall Siding
BRGHLHS,Comercial Manager Ldn Coastway
HYWR350,Haywards Heath Signal T350X
HORSUKF,Horsham Freight  Kemira Ferts.
THBD737,Three Bridges 1737 Points
THBDWRS,Three Bridges Voyager M.D.
EARL136,Earlswood Signal T1136
SNSTGF,Coulsdon North Ground Frame
PURLEY,Purley
PURL091,Purley Signal T.1091
PRLYCHS,Purley  Br Sidings
HRST312,Hurst Green Signal 312
HRSTJN,Hurst Green  Junction Sig. Box
GODSLFS,Godstone  Tip
REDHILL,Redhill
REDH487,Redhill Signal T487
REDHTBS,Redhill  Tonbridge Branch Sdgs
REDH316,Redhill Signal T1316
REDH322,Redhill Signal T1322
REDHDS,Redhill Down Siding
TATNCHS,Tattenham Corner C.H.S.
ECROYDN,East Croydon
CLPH049,Signal Cy 49
CLPH122,Signal Cy 122
LETH195,Leatherhead Signal 1195
WCRO041,West Croydon Signal T1041
SELHGRJ,Gloucester Road Junction
NORWBOP,Norwood Booking On Point
NORWDFJ,Norwood Fork Junction
STRHCSD,Streatham Hill Grp Plats Rlf
STRHDS,Streatham Hill Grp Sales Rlf
STRHEX,Streatham Hill Sales Point (R)
STRHSH,Streatham Hill  Shed
STRHUS,Streatham Hill Up Siding
TULSLJ,Leigham Junction
TULS178,Tulse Hill Signal Vc178
TULS766,Tulse Hill Signal Vc766
TOLWTHS,Tolworth Sidings
MOTSPJN,Motspur Park Junction
CESOKWV,Cessnock Water Viaduct
WDNLUL,London Underground Ltd
HERN602,Herne Hill Signal Vs602
STHFLDS,Southfields
WDONDWX,Depot Washer Road Exit
WDONEDP,Wimbledon East
WDONEMU,Wimbledon Maintenance
STWTDAY,Stewarts Lane - Days
CLPHMJN,Clapham Junction London
CLPHJCS,Br Carriage Sidings
CLPHMJ1,Clapham Junction Plats 0-2
CLPH149,Clapham Junction Signal W149
CLPHMJ2,Clapham Junction Platform 2
CLPHCMD,Carmd
CLPHMJC,Clapham Junction (C)
CLPHMJW,Clapham Jn (Windsor)
CLPHMJM,Clapham Jn (Main)
CLPHJLP,Clapham Junction Loop
VAUXHAL,Vauxhall London
VAUXHLW,Vauxhall (Windsor)
VAUXHLM,Vauxhall (Main)
WATRCLJ,Waterloo Carlisle Lane
WATRBAL,Waterloo Ballast
VICTRIA,Victoria London
VICTCRS,Victoria  Carriage Road South
VICTCRB,Victoria  Carriage Road Bridge
VICTRIC,Victoria (C) (Tps Indic. Only)
VICTRIE,Victoria (Se)(Tps Indic. Only)
VICT9,Victoria  Plat  9    (Tps Use)
VICT10,Victoria  Plat 10    (Tps Use)
VICT11,Victoria  Plat 11    (Tps Use)
VICT12,Victoria  Plat 12    (Tps Use)
VICT13,Victoria  Plat 13    (Tps Use)
VICT14,Victoria  Plat 14    (Tps Use)
VICT15,Victoria  Plat 15    (Tps Use)
VICT16,Victoria  Plat 16    (Tps Use)
VICT17,Victoria  Plat 17    (Tps Use)
VICT18,Victoria  Plat 18    (Tps Use)
VICT19,Victoria  Plat 19    (Tps Use)
VICTRCR,Victoria  Carriage Road
VICTBAL,Victoria*London Ballast
VICT35,Victoria Signal Vs35
SURB534,Surbiton Signal Wk534
SURBETC,Emergency Trailing Crossover
KGST410,Signal F410
OKEWJN,Old Kew Junction
HOUNSLJ,Hounslow Junction
TWCK406,Twickenham Signal F406
TWCK403,Twickenham Signal F403
TWCK401,Twickenham Signal F401
WHTTONJ,Whitton Jn
STAI478,Staines Signal F478
GUIL308,Guildford Signal Gd1308
GUILDUR,Guildford Up Yard
PRBRITJ,Pirbright Junction
PRBR225,Pirbright Jn Signal Wa225
PRBR228,Pirbright Jn Signal Wa228
ROPLEY,Ropley
ALRSFRD,Alresford
FARNF30,Farnham Signal Fn30
WANBRO,Wanborough
WANB199,Wanborough Signal Wa199
WOKN15,Signal Wm15
WOKN14,Wokingham Signal Wm14
WOKNDS,Wokingham Down Sdg
WOOLMOD,Wool Mod Siding
SWNAGE,Swanage
HMWTBCI,Blue Circle
HMWTBCI,Blue Circle
HMWTPHC,Hamworthy Goods Poole H.C.
POOLESB,Poole Signal Box
POOLE,Poole
POLEFT,Poole Quay
BOMO21,Bournemouth Signal 21
BOMOMS,Bournemouth Middle Sdgs
BOMOEWS,Bournemouth T&Rs Depot
FWLY,Fawley Hants
FWLYESO,Esso Petroleum (Cadlands)
FWLYGF,Fawley Ground Frame
MCHWFLT,Marchwood F.L.T.
REDB973,Redbridge Signal E973
REDBSFL,Redbridge Sidings
SOTDBH,Soton Dks Berkeley Handling
SOTD107,Soton W Docks Berth 109
SOTDFLT,Southampton Docks F.L.T.
SOTOLHS,Southampton M.C.T. L.H.S.
SOTO930,Southampton Signal E930
SOTO942,Southampton Signal E942
NTHMRCL,Northam Depot Reception Line
STDE706,Signal E706
STDE704,Signal E704
STDE904,St Denys Signal 904
STRNTSH,Stockton Haulage
FORDJN,Ford Junction
BOGNORR,Bognor Regis
BOGNCHS,Bognor Regis  Carriage Sidings
BOGNMR,Bognor Regis  Middle Road(Tps)
PINMORE,Pinmore
DRYTON,Drayton
CHCHSOS,Chichester Grp Plats Relief
CHCHSTY,Chichester Grp Sales Relief
PINWHRY,Pinwherry
DAILLY,Dailly
HAVAS31,Signal 31
HAVAS28,Signal 28
HAVA503,Havant Signal Ht 503
HAVA501,Havant Signal Ht 501
FRAT554,Fratton Shunt Signal Ht554
FRAT553,Fratton Signal 553
PSEABKR,Portsmouth & S'Sea Back Road
PHBR,Portsmouth Harbour
POMOHSP,Portsmouth Harbour (Ship)
CLRNCEP,Clarence Pier
POMOPLD,Portsmouth Portsea Landing
BRMHSJN,Holehouse Jn
FARE822,Fareham Sig 822
FARE283,Fareham Signal E283
FARE821,Fareham Sig 821
BOTLEY,Botley
BOTL295,Signal E295
DINTON,Amfs - Eastleigh S & M
ELGH228,Eastleigh Signal E228
DEANEGR,East Grimstead Sb
EGRMECC,E Grimstead Eng China Clay
DEANHLS,Mod(Navy)
ELGHGBR,Eastleigh Gbrf
CSFD,Chandlers Ford
ELGHVQ,Eastleigh Virtual Quarry
ELGHFLD,Eastleigh Depot Freightliners
ELGHMCS,Marcroft Siding
WNCHRBS,Baltic Siding
REDPJN,Andover Red Post Jn
ANDOKMR,Kemira
HRSB,Hurstbourne
BSNGSTK,Basingstoke
BSNGW30,Basingstoke Non Paybill
BSNGSEB,Basingstoke East Bay
MCHL229,Micheldever Signal E229
BSNG105,Basingstoke Signal B5105
BSNG109,Basingstoke Signal B5109
BSNGBME,Basingstoke Barton Mill E
BSNG106,Basingstoke Signal B5106
WOKIUCS,Woking Up Carriage Sidings
WOKICHS,Br Carriage Sidings
WOKI100,Woking Signal Wk506
WOKIV84,Woking Signal Wk1203
WOKING,Woking
WOKINGB,Woking Bay
WOKI119,Signal Wk167/369
WOKIV28,Woking Signal Wk507
WOKI214,Woking Signal Wk1214
WOKIV57,Woking Signal Wk376
WOKI203,Woking Signal Wk 1203
WOKI201,Woking Signal Wk1201
WNCFICE,Winchfield Country End
WOKIV99,Woking Signal Wk608
WOKI608,Woking Signal Wk608
WNCFILE,Winchfield London End
FLKLNDS,Falkland S.S.
PENZSFR,Penzance Shed Fuel Road
PENZTMD,Penzance T.& R.S.M.D.
TRURUKF,M Thomas/Ukf
TRURYRD,Truro Yard
PARHECC,Ecc (Par Harbour)
PARRLNR,Parr Liner Sidings
LSTWUGL,Lostwithiel Up Goods Loop
LSTWDGL,Lostwithiel Down Goods Loop
BODMINS,Bodmin Sdg-Fitzgerald Lighting
COOMLAR,Moorswater Lafarge
LISKDGF,Liskeard Ground Frame
PLYMPSD,Plymouth Park Sidings
MNTGLCW,Mount Gould Carriage Wash
LARASFR,Plymouth Laira Tmd Fuel Road
MSHMLEC,Ecc Marsh Mills
BARAFHH,Barassie Yard Fhh
PAIGXGF,Paignton Crossover G.F. P&Dsr
HTHFECC,Ecc
NABTHAK,Newton Abbot Hackney Yard Fhh
NABTHAC,Ce Siding (Hackney Yard)
EXETMBS,Marsh Alphington Road
HEWISH,Hewish
SETONJN,Seaton Junction
EXETRNY,New Yard Freight Depot
EXETDPT,Premier Transport Terminal
EXETTMD,.
EXETCAR,Exetr St Dav Car Sdgs Wessex
SAMPCRT,Sampford Courtenay
BGSDEJN,Bogside Junction
WATCHET,Watchet (W.Somerset  Ly)
TAUN483,Taunton Signal 483
TAUNTON,Taunton
TAUNE22,Taunton Signal E22
TAUN611,Taunton Signal E611
TAUN624,Taunton Signal E624
TAUN617,Taunton Signal E617
TAUNEJN,Taunton East Jcn
FRWAYD,Fairwater Yard
SUTNBIN,Sutton Bingham
SEMLEY,Semley
EVERSHT,Evershot
YOVILPE,Yeovil Pen Mill
SOMEVIA,Somerton Viaduct
SOMEGF,Somerton Ground Frame
SOMERTN,Somerton Engineers
HNTRFHH,Hunterston Hugh Level (Fhh)
WYLYGF,Br Wylye Sidings
WRMNBGS,Mod (Army) Beechgrove Sidings
WSTBDS,Westbury Dmu Sidings
WSTBURC,Westbury Up Recp
HNTRSCB,Hunterston Coal Bunker
HNTRSOB,Hunterston Ore Bunker
BRDGCRL,Bridgwater Charterail
YATTONL,Yatton Loop
PTBRCAR,Portbury Automotive Terminal
PTBRPLT,Portbury Dock Temporary Plat
PTBRCOL,Portbury Coal Terminal Dbs
PTBRLOP,Portbury Dock Stop Board
ASHJN,Ashton Junction
BRSS423,Bristol Tm Signal 423
BRSTLKR,Bristol Marshalling Yards
STPHLPM,Dgm Bristol
STPHHST,.
STPHDMU,St Philips Marsh Dmu Tmd
STPHFUL,St Philips Marsh Fuelling
STPHFHH,Bristol St Philips Marsh Fhh
BRSTEDT,Bristol East Depot Tarmac
AVONNPT,Avonmouth National Pwr Silo 1
AVONBHT,Avonmouth (B.B.H.T.)
AVONBEN,Avonmouth Bennets Siding
STKGLMD,Stoke Gifford Loco Mtence Dep0
YATES,Yate South
YATES,Yate South
TYTHRNG,Tytherington
GVSDQ,Hanson Aggregates
KILW794,Kilwinning Signal Pk794
KILW785,Kilwinning Sigpk785
CMTHNSD,Carmarthen Sidings
CMTHWAR,Carmarthen Warehousing
WHLADS,Whitland Down Sidings
HAVRFRD,Haverfordwest Freight Depot
LTRSTNJ,Letterston
GLGN183,Glengarnock Sig Pg183
ECLFECH,Ecclefechan
NTRCLGH,Nethercleugh
ELVWATV,Elvan Water Viaduct
MARNELV,Marne-La-Vallee
BEATUSS,Beattock Up Summit Sidings
ELVFOOT,Elvanfoot
PENCUPL,Pencoed Up Passenger Loop
BEATDNS,Beattock Down Sidings
MRGMWRD,M&Ee C&W Maintenance Block D
LAWJRRT,Law Jn Road & Rail Ts
BLNNBLP,Brynteg Loading Pad
RSTRFHH,Ravenstruther Cm Fhh
LAWJDS,Law Jn Down Sidings
LNDOREJ,Landore Junction
DYNEVRJ,Dynevor Jn
DYNEGF,Dynevor Ground Frame
SHILDMR,Shieldmuir
SHILDGF,South Ground Frame
SHIL483,Signal M483
LLDEGEN,Genwen Jn
ABTHPST,Aberthaw Pwr Stn Fliner Hvy Hl
BARRDGL,Barry Down Goods Loop
BARRDNS,Abp (Non Shipment)
CADOEWS,Cadoxton - Dbc
LLHARAN,Llanharan
CARDTVS,Cardiff Canton Taff Vale Sdgs.
LCKWBGF,Leckwith Bridge Ground Frame
CARD430,Cardiff Sig. C430
CARDFQS,Cardiff Queen Street
CARD410,Cardiff Signal C410
CARDFRS,Allied Steel&Wire (Rod Mill)
CARDRFW,Ryans Fletchers Wharf
CARDFDW,Cardiff Docks
TRMRWKS,Allied Steel & Wire (Trem Wks)
WENTLOG,Wentloog (Freightliners)
WENTEWS,Wentloog Freight Termnal (Ews)
BORGSTM,Bourg St Maurice
EBWVPWY,Ebbw Vale Parkway
EBWVSGF,Ebbw Vale South Ground Frame
LLHLETH,Llanhilleth
NBRWGE,Newbridge
CRSKYJN,Cross Keys Jcn
CRSKEYS,Crosskeys
RISCA,Risca & Pontymister
RISCASJ,Risca South Jn
ROGRSTN,Rogerstone
PRKJNTH,Park North Jcn
NWPTCOU,Newport (S.Wales) Courtybella
NWPTDKS,Newport Docks
HEREDSL,Hereford Diesel Sidings
HEREDNY,Hereford N.Y
FIFOTFL,Fifoots Point Pwr Stn Flinerh
FIFOTPS,Uskmouth Power Station
EUSKJN,East Usk Jn
LWERHCF,Llanwern Tata Distbn Hcf
SEVS349,Signal N349
CHEPSTW,Chepstow
CHEPEGF,Chepstow East G.F.
WYEVJGF,Wye Valley Jn G.F.
LYDNEY,Lydney
LYDNJCT,Lydney Junction
BTHM502,Bathampton
BTHMPTJ,Bathampton Jn
THNGMOD,Thingley Jn Mod
THNGLEJ,Thingley East Junction
MOTHUGL,Motherwell U.G.L
MOTH444,Signal M444
SDONHWK,Swindon Hawksworth Sidings
SAVERNK,Savernake
HUNGRFD,Hungerford
HUNGDGL,Hungerford Loop
MOTH402,Motherwell
MOTHHGL,Hamilton Goods Loop
MOTH372,Motherwell
HEYFFRI,Fritwell And Somerton
SDONTML,South Marston Euro Terminal
SDONBOU,Bourton
DIDCPS,Didcot Pwr Stn Fliner Hvy Haul
TILHEJN,Tilehurst East Junction
CNBKSTB,Colnbrook Stop Board
CNBKLAF,Colnbrook Lafarge_Fliner Hh
CNBKBAA,Colnbrook Baa Logistics
HTRWTJN,Heathrow Tunnel Jn.
HTRW342,Heathrow Headshunt
HTRWTM5,Heathrow Terminal 5
MOSEUHS,Mossend West 1 Repair Point
STHAWCR,Southall Wcr
STHAFSS,Southall Loco Services Ltd
MOSELHS,Mossend Yard Lhs  Rfd T&Rs
PRIN178,Princes Risborough Sig Me178
HWYCWW,West Wycombe
BCNSWHI,Whitehouse Tunnel
WRUIGBR,West Ruislip Lul Depot Gbrf
WEALINP,Plassers
ACTOGBR,Acton Yard Gbrf
OLDOPLT,Old Oak Platform (Temp)
OLDOEWS,Ooc Car Md
OLDOACE,Old Oak Common Ace Sidings
PLMD761,Polmadie
LILLEPF,Lille Port Fluvial
PLMDCL,Polmadie Clydesdale Loop
LSTREM,Lestrem
GLGCN2L,No2 Loop
CMDN210,Camden Signal 2102
KENSLGT,Kensal Green Turnback Siddings
EUSTBAL,London*Euston Station Ballast
PADTLUL,Paddington Balerloo Lul
CMDNSTH,Camden South Jn
QPRKAC,Queens Park A.C.
KNSGHST,High Street Kensington Lt
WBRMPTN,West Brompton
NPLEINT,M&Ee North Pole Inter Depot
NPLE820,North Pole Signal Vc820
WLSDCE,Ce Siding (Old Oak)
WLSDSWS,South Western Rs
WLSDSWE,Willesden Sws Engineers Sdgs
WLSDNNJ,Willesden North Junction
WLSDRRJ,Willesden Railnet Jn
ACTNLRS,Acton Lane Reception Sdgs
WLSDBSJ,Wembley Yard South Jn
WMBYCSF,Wembley Carriage Sidings
WMBYWHL,Wrd-Wheel Lathe
WLSD31,Wembley Signal 829/931
WMBYDC,Wembley Central Dc
HROW307,Harrow D.C. Turnback Ws307
HROW305,Harrow Signal Ws305
BUSHYDC,Bushey Dc
WATFJDC,Watford Junction Dc
WLLNKJN,Wallneuk Junction
HOWOOD,Howwood
HEMLSJN,Hemel Hempstead South Jn
DNSDFLT,Deanside Cpa. Flt
TRINGCE,Tring Ce
TRINGNJ,Tring North Junction
MOORPIN,Pinner
AYLSNL,Aylesbury North Loop
AYLSWAD,Waddesdon Manor
CALVFHH,Calvert (Shanks & Mc Ewan)
LEDBSH,Stoke Hammond
BLTCCE,Ce Siding
BLTCUGL,Up Goods Loop
BLTCUDG,Bletchley Up & Down Goods
BLTCSN,Bletchley Shunt Neck
BLTCDS,Bletchley Down Sdgs
BLTC76,Bletchley Sig 76 (Dn Fast)
WLVRLAR,Trnsprt & W/Hsng Facilities
HANSCAS,Castlethorpe Old Station
HANSRD,Roade
WEEDBGF,Blisworth Ground Frame
WEEDBCE,Blisworth - Railtrack
WEEDBAN,Banbury Lane Level Crossing
WEEDSTO,Stowe Hill Tunnel
NMPTHHT,Hunsbury Hill Tunnel
NMPTN,Northampton
NMPTBAY,Northampton Bay
LNGBCB,Church Brampton
LNGBAP,Althorpe Park (Long Buckby)
DRMFCHR,Drumfrochar
DIRFTMA,Daventry Irft (Malcolm Wh)
DIRFTB2,Daventry Didc2 Tibbet&Britain
LNGBWL,Watford Lodge (Long Buckby)
DIRFTCR,Daventry Irft Cripple Sdg
DIRFTWA,Daventry Didc1 Tibbett&Britten
DIRFTIN,Daventry Int Rft Intermodal
DIRFTRR,Daventry Int Rft Recep Rfd
DIRFTRE,Daventry Int Rft Recep Ews
CRIKGF,Crick Gf
DVNTYSJ,Daventry South Jn
DVNTYNJ,Daventry North Jn
DIRFTFL,Daventry Int Rft Recep Fl
WEEDWIL,Wilton Marina
WEEDWEL,Welton
WEEDKGF,Kilsby G F (Weedon)
RUGBSJ,Rugby South Junction
RUGBDED,Rs&Te Mtnce Equipment Depot
RUGBLHS,C&W Siding
RUGBTVJ,Rugby Trent Valley Junction
RUGBNJ,Rugby North Junction
RUGBYAS,Rugby Arrival Sidings
RUGBNOF,Rugby Norfrost
RUGBUSQ,Rugby Up Sdgs - Virtual Quarry
RUGBJCS,Redland Roof Tiles
RUGBJAR,Rugby New Bilton
HADMROS,Rose Farm Crossing
HADMASH,Ashendon Jn
HADMBRI,Brill
BCSTBLA,Blackthorne
BCST196,Bicester North Signal Me2034
BCSTUS,Bicester Nth Turnback Sdgs
BCSTARD,Ardley
FENNCRO,Cropredy
FENNEX,Fenny Compton Exchange Sdgs
FENYCE,Ce Siding
LMNGSOU,Southam Road
LMNGFOS,Fosse Road (Leamington)
HATTDGL,Hatton Down Goods Loop
WARWPWY,Warwick Parkway
LMNGCHS,Leamington Carriage Sidings
BHAMISJ,Birmingham Int South Junction
BHAMINJ,Birmingham Int North Jn
COVNNJN,Coventry North Junction
COVNCE,Ce Siding
COVNYD,Coventry Yard
RUGBLLJ,Rugby Long Lawford Junc
COVNCRD,Coundon Road Lc (Coventry)
ATLBSHI,Shilton
NNTNHS,Nuneaton Hs / 'A' Sdg
NNTNVTC,Nuneaton_Cemetary_Sdgs
NNTNMID,Midland Jn
HRTHENG,Hartshill
LCHTHAD,Hademore Crossing
STRUMLC,St. Mary'S Level Crossing
SHRPCMT,Coopers Metals
GLOSTUF,Tuffley Junction
GLOSS31,Gloucester Signal G.31
GLOSTHR,Gloucester Horton Road
GLOSLIP,Gloucester Traction
GLOS239,Gloucester Signal G239
GLOS256,Gloucester Signal G256
GLOSTNY,Br New Yard
GLOS156,Gloucester Signal G156
CHLTLDL,Cheltenham Lansdown Loop
CHLTNHS,Cheltenham High Street
CHLTALC,Cheltenham Alstone L.C.
ASHCWGF,Ashchurch War Dept. G.F.
ASHCMOD,Ashchurch - Mod (Army)
WORCS59,Worcester Shrub Hill Sig 59
WORCS59,Worcester Shrub Hill Sig 59
WORCT58,Worcester Tun Jn Sig 58
LONBRS,Reversing Sdgs
DORIUPL,Dorridge Up Passenger Loop
SOAVEST,Stratford-U-Avon East
DORIDCE,Dorridge Civil Enginners Sdgs
TYSLUDS,Up & Down Through Sdgs
TYSLSTM,Standard Gauge Steam Trust
BHAM459,B'Ham Snow Hill Signal 459
LIFOMOS,Camp Hill
LNDRBES,Landor St Bank Engine Sdgs
WSHWDHC,Ce Siding (Washwood Heath)
WSHWHRS,Washwood Heath Tc
HMSHCRI,Hams Hall Cripple Sdg_Rfd
HMSHEWC,Hams Hall Cripple Sdgs (Ews)
HMSHREC,Hams Hall Recp Line_Rfd
HMSHNDP,Hams Hall Nat Dist Prk (Rfd)
HMSHEWT,Hams Hall Main Terminal (Ews)
HMSHPAR,Hams Hall Parsec
DAWMFHH,Daw Mill Colliery Fhh
NNTNABJ,Abbey Junction
LCHTFIN,Fine Lane L.C.
KNGSBCE,Birch Coppice X/Chnge Sdgs
KNGSFHH,Kingsbury Freightliner H.H.
GLGHST,High Street Glasgow
GLGH141,Signal 141
GLGH140,Jn Sig 140
GLGH795,Sig Yf795
BNRTH,Bridgnorth
LGRNAW,Albright & Wilson
SOHOCE,S&Te Siding
BSCTURQ,Bescot Up Rec Sdgs - Virt Qry
VXHLJN,Vauxhall Jn (West Mids)
BHAMNBL,Xc
WALSPDC,Walsall Tasker St Pdc
WALSTSD,Walsall Brook Through Sdg
STNPALD,Aldridge Sig Wl42
HDNSMOO,Moors Gorse L.C.
RUGLCPL,Rugeley Ps Cripple Siding
RUGLFHH,Rugeley B Power Station (Fhh)
LCHCHAM,Hammerwich
LCHTCE,Lichfield Tv C E Sidings
WVRMCS,Wolverhampton Cs
COSFUGL,Cosford Ugl
BSBYJDG,Bushbury Jn D G L
IRNBFHH,Cegb Ironbridge Frt Sal
IRNBGSB,Ironbridge Ps Stopboard
ALSCGF,Allscott Gf
ALSCUPT,Upton Magna
LANBDRN,Llanbadarn
BORTBOW,Bow Street
BORTLLA,Llandre
MCHYYNY,Ynyslas
MCHYGLA,Glandyfi
PWLHELS,Pwllheli Station Sidings
ABRYAFO,Afon Wen Lc
TALRCEM,Cemmes Road
EFLDPL,Eastfield Passenger Loop
TALRLLA,Llanbrynmair
TALRCAR,Carno Lc
TALRDOG,Pontdolgoch
NEWTDOU,Dought'S Level Crossing
WELSFLC,Fron Junction
WELSALC,Abermule L.C.
WELSBUT,Buttington
WELSPYC,Plas-Y-Court L.C.
WELSYOK,Yockleton
WELSHAN,Hanwood
SHRWCON,Condover
SHRWAFS,Shrewsbury Abbey Foregate Cs
SHRWCE,Ce Siding (Severn Bridge)
SHRWBNY,Shrewsbury New Yard
CWLRBOX,Cowlairs Signalbox
SHRWLLC,Leaton L.C.
WITNDLC,Decoy L.C.
UPRHUGL,Upper Holloway Up Goods Loop
UPRHCES,Upper Holloway Ce Siding
STPXBOX,St Pancras Low Level
YWAYSJN,York Way South Junction
CRKLNLF,Cricklewood North London F.C.
CRKLDPT,Cricklewood Depot
WHMP236,West Hampstead Signal 236
STALNAP,Napsbury
WEST534,Westerton Sig Yh534
MARYWRD,Marylebone Washer Road
NEASKV,Kilburn Viaduct
NEAS536,Neasden South Jn Sig Me536
NEASCSG,Neasden Charrington Sidings
NEASDGS,Neasden Engineers Sdgs
NEASDNS,Neasden
WEMBYS,Wembley Siding
NEAS525,Neasden South Jn Sig Me525
HRPNSAN,Sandridge
HRPNCG,Chiltern Green
LUTOAPY,Luton Airport Parkway
LUTONCS,Centre Sdgs
LEAGSAN,Sandon
BEDFMIL,Millbrook
SNBKOV,Oakley Viaduct
DMBRTNL,Dumbarton Central Goods Loop
DMBR933,Sig Yd933
SNBKSDP,Souldrop
WLNGIRC,Irchester
WLNGBUS,Up Sidings
ARCHAME,Arrochar & Tarbet
CRNLAME,Crianlarich Down Siding
GLFALCH,Glen Falloch
SUCOTHV,Succoth Viaduct
CRNLRHL,Crianlarich Lower
FRTWGF,Fort William B.A. G.F.
FRTWJFL,Ft William Jn Flt
FRTWFLT,Ft.William Station Sidings Flt
